Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3
624,AB2,ZrMn2.7,1.3,33.6,100,3,"Uchida, 1986",370,,,
625,AB2,ZrMn2.8,,29.9,23,0.3,"Pedziwiatr, 1983",28,,,
626,AB2,ZrMn2.8,1.5,18.4,23,0.4,"Pourarian, 1981",19,,,
627,AB2,ZrMn2.8,1.6,,50,2,"van Essen, 1980",17,,,
628,AB2,ZrMn2.8Fe.4,1.2,23,100,0.12,"Pourarian, 1982",512,,,
629,AB2,ZrMn2.8Ni.4,1.3,,23,4,"Pourarian, 1984",551,,,
630,AB2,ZrMn2Co.8,,20.9,23,4,"Pedziwiatr, 1983",28,,,
631,AB2,ZrMn2Co.8,0.9,19.3,23,3.5,"Pourarian, 1984",551,,,
632,AB2,ZrMn2Cu.8,,31.6,23,0.06,"Pedziwiatr, 1983",28,,,
633,AB2,ZrMn2Cu.8,1.4,27,50,0.06,"Pourarian, 1984",551,,,
634,AB2,ZrMn2Fe.8,,25,23,0.5,"Pedziwiatr, 1983",28,,,
635,AB2,ZrMn2Fe.8,1.2,29.3,30,2,"Uchida, 1986",370,,,
636,AB2,ZrMn2Fe.8,1.4,12.7,23,0.7,"Sinha, 1982",509,,,
637,AB2,ZrMn2Fe1.2,0.7,6.8,25,3,"Sinha, 1982",509,,,
638,AB2,ZrMn2Ni.8,,25,23,1.6,"Pedziwiatr, 1983",28,,,
639,AB2,ZrMn2Ni.8,1.3,18.6,23,3,"Pourarian, 1984",551,,,
640,AB2,ZrMn2-xVx,1.2,,200,2-Jan,"Yonezu, 1991",563,(x=0.1-0.2),,
641,AB2,ZrMn2-yCoy,1.5,35 - 44,50,0.08 - 1,"Shaltiel, 1977",14,(y = 0.5-1.0),,
642,AB2,ZrMn3,1.3,29.2,50,0.6,"Luo, 1992",582,,,
643,AB2,ZrMn3.8,1.2,17,30,0.7,"Pourarian, 1981",19,,,
644,AB2,ZrMnFe,0.1,20.4,,,"Fukada, 1999",1255,,0.4 atm at 0Â°C,No plateau
645,AB2,ZrMnFe.7Co.3,1.2,17.6,30,4,"Prakash, 2000",1285,,,Sloping plateau
646,AB2,ZrMnNi1+y,0.3,,30,0.45 - 2.5,"Kwon, 2002",1294,y=0-0.4,,
647,AB2,ZrMo2,0.3,38.5,,,"Pebler, 1967",13,,,
648,AB2,ZrMo2,0.3,,,,"Beck, 1962",45,,,
649,AB2,ZrMo2,0.4,,,,"Shaltiel, 1977",14,,,
650,AB2,ZrMo2,0.5,,,,"Semenenko, 1980",638,,,
651,AB2,ErCo2,1.3,,,,"Gualtieri, 1977",50,,,
652,AB2,ErFe2,1.1,,,,"Burnasheva, 1979",519,,,
653,AB2,ErFe2,1.4,,,,"Gualtieri, 1976",516,,,
654,AB2,ErFe2,1.4,,,,"Gualtieri, 1977",50,,,
655,AB2,ErFe2,1.4,,205,1,"Shilov, 1981",530,,,
656,AB2,ErFe2,1.7,,24,0.06,"Shashikala, 1996",1165,,,sloping plateau
657,AB2,ErFe2,,,,,"Paul-Boncour, 2001",1279,,P=10 kbars,
658,AB2,ErFe2 (M),1.1,56.2,130,0.013,"Flanagan, 1987",358,,,
659,AB2,ErFe2 (M),1.5,57.9,80,0.001,"Kierstead, 1980",356,,,
660,AB2,ErFe2-yAly,1.2,,,,"Gualtieri, 1977",50,(y = 0-0.6),,
661,AB2,ErFe2-yCoy,1.3,,,,"Gualtieri, 1977",50,(y = 0-2),,
662,AB2,ErFe2-yMny,1.4,,,,"Gualtieri, 1977",50,(y = 0-1.4),,
663,AB2,ErFe2-yMny,,,,,"Sankar, 1977",683,y=0.4-1.0,,
664,AB2,ErFe2-yNiy,1.3,,,,"Gualtieri, 1977",50,(y = 0-1.2),,
665,AB2,ErMn2,1.75,,22,0.02,"Viccaro, 1980",359,,,
666,AB2,ErNi2,0.9,,,,"Gualtieri, 1977",50,,,
667,AB2,ErNi2,0.9,,,,"Ensslen, 1983",385,,,
668,AB2,ErNi2,1.2,,,,"Burnasheva, 1979",519,,,
669,AB2,ErNi2,1.5,,,,"Kost, 1979",515,,,
670,AB2,ErNiAl,0.6,,,,"Kolomiets, 1997",651,,,
671,AB2,ErNiAl,0.6,,,,"Kolomiets, 1997",825,,,
672,AB2,GdCo2,,,,,"Beck, 1962",45,,,
673,AB2,GdCo2,1,,,,"Mushnikov, 1999",1257,,,
674,AB2,GdCo2,1.4,,,,"Burnasheva, 1979",519,,,
675,AB2,GdCo2,1.4,54,,,"Buschow, 1977",54,,,
676,AB2,GdCo2,1.5,31,,,"van Mal, 1976",360,,,
677,AB2,GdCo2,1.6,,,,"Shaltiel, 1977",14,,,
678,AB2,GdCo2 (M),1.5,48,200,2,"Shaltiel, 1979",361,,,
679,AB2,GdFe2,,,,,"Beck, 1962",45,,,
680,AB2,GdFe2,1.5,,,,"Buschow, 1975",518,,,
681,AB2,GdFe2,1.5,29,292,1,"Shaltiel, 1979",361,,,
682,AB2,GdFe2 (M),1.6,,20,0.0001,"Kierstead, 1982",61,,,
683,AB2,GdFeAl,1.2,,27,0.75,"Drulis, 1984",553,,,
684,AB2,GdMn2,0,,,,"Beck, 1962",45,,,
685,AB2,GdMn2,1.1,87.5,360,1,"Shaltiel, 1979",361,,,
686,AB2,GdMn2,1.6,,,,"Przewoznik, 1996",525,,,
687,AB2,GdNi2,1.3,,,,"Burnasheva, 1977",520,,,
688,AB2,GdNi2,1.4,,,,"Malik, 1977",514,,,
689,AB2,GdNi2,1.5,90,300,1,"Shaltiel, 1979",361,,,
690,AB2,GdNiAl,0.6,,,,"Kolomiets, 1997",651,,,
691,AB2,GdNiAl,0.6,,,,"Kolomiets, 1997",825,,,
692,AB2,GdNiAl,0.8,,27,0.5,"Drulis, 1984",553,,,
693,AB2,GdRh2,0.9,49,142,6,"Shaltiel, 1979",361,,,
694,AB2,GdRh2,0.9,,100,0.8,"Shaltiel, 1977",14,,,
695,AB2,GdRu2,1,,200,0.7,"Shaltiel, 1977",14,,,
696,AB2,GdRu2,1,60,225,3,"Shaltiel, 1979",361,,,
697,AB2,Hf.57Ti.43Ni1.7V.3,0.8,,,,"Ronnebro, 1995",617,,,
698,AB2,HfBe2,0.56,,,,"Maeland, 1983",362,,,
699,AB2,HfCr2,1.2,,,,"Mukai, 1999",1230,,,No plateau
700,AB2,HfMn2,0.7,,,,"Mukai, 1999",1230,,,No plateau
701,AB2,HfMo2,0.2,,,,"Mukai, 1999",1230,,,No plateau
702,AB2,HfTi2,2.1,,,,"Kozhanov, 1998",1240,,,
703,AB2,HfV2,0.9,,,,"Mukai, 1999",1230,,,No plateau
704,AB2,HfV2,1,,,,"Kemali, 1995",405,,,
705,AB2,HfV2,1.1,,,,"Beck, 1962",45,,,
706,AB2,Ho.6Zr.4Co2,,30,27,0.06,"Ramesh, 1991",682,,,
707,AB2,Ho.6Zr.4Co2,1,33,50,0.2,"Ramesh, 1993",363,,,
708,AB2,Ho.6Zr.4Fe2,,16 - 20,,,"Kesavan, 1995",680,,,
709,AB2,Ho.8Zr.2Co2,,13,27,0.06,"Ramesh, 1991",682,,,
710,AB2,Ho.8Zr.2Co2,1.2,25,50,0.2,"Ramesh, 1993",363,,,
711,AB2,Ho.8Zr.2Fe2,,24,,,"Kesavan, 1996",681,,,
712,AB2,HoCo2,1.3,,,,"Burnasheva, 1979",519,,,
713,AB2,HoFe2,1.3,,,,"Burnasheva, 1979",519,,,
714,AB2,HoFe2,1.6,,,,"Gualtieri, 1976",516,,,
715,AB2,HoNi2,1.3,,,,"Burnasheva, 1979",519,,,
716,AB2,HoRu2,1.1,,155,1,"Shilov, 1981",530,,,
717,AB2,La1-xMgxNi2,1.2,,,,"Oesterreicher, 1980",364,(x = 0.25-0.67),,
718,AB2,LaAl2,0.05,,,,"Shaltiel, 1978",66,,,
719,AB2,LaCo2,1.5,,,,"Burnasheva, 1979",519,,,
720,AB2,LaMg2,2.1,,,,"Shaltiel, 1978",66,,,
721,AB2,LaMg2,3.3,,,,"Kost, 1979",515,,,
722,AB2,LaMg2,3.6,,,,"Gingl, 1997",650,,,
723,AB2,LaMnAl (M),1.2,,21,15,"Gross, 1996",630,,,
724,AB2,LaNi2,1.1,,,,"Guidotti, 1977",105,,,
725,AB2,LaNi2,1.6,,,,"Mikheeva, 1978",535,,,
726,AB2,LaNi2,1.7,,,,"Oesterreicher, 1980",364,,,
727,AB2,LaNi2,1.7,,,,"Oesterreicher, 1976",524,,,
728,AB2,LaNi2,1.8,,,,"Kost, 1979",515,,,
729,AB2,LaNi2,1.9,79.5,,,"Maeland, 1976",387,,,
730,AB2,LaPt2,,,,,"Shaltiel, 1977",14,,,
731,AB2,LaRh2,1.4,,200,0.7,"Shaltiel, 1977",14,,,
732,AB2,LaRh2 (M),1.4,44.3,244,2,"Shaltiel, 1979",361,,,
733,AB2,LaRu2,1.3,,200,,"Shaltiel, 1977",14,,,
734,AB2,LiPd2,0.8,51,300,0.16,"Sakamoto, 1995",411,,,
735,AB2,LuFe2,1.4,,,,"Buschow, 1980",56,,,
736,AB2,LuNi2,0.85,,,,"Burnasheva, 1979",519,,,
737,AB2,LuNi2,0.9,,,,"Ensslen, 1983",385,,,
738,AB2,LuNi2,1.4,,,,"Buschow, 1980",56,,,
739,AB2,LuNiAl,0.4,,,,"Kolomiets, 1997",651,,,
740,AB2,MgCu2,0,,,,"Reilly, 1967",87,,,
741,AB2,MgNi2,0,,,,"Reilly, 1968",88,,,
742,AB2,MgYNi4,1.05,35.8,40,4,"Aono, 2000",1273,,,
743,AB2,MmCo2,1.1,,,,"Guidotti, 1977",105,,,
744,AB2,MmMnAl,1,,21,0.05,"Gross, 1996",630,,,
745,AB2,NdCo2,1.4,,,,"Burnasheva, 1979",519,,,
746,AB2,NdFe2,1.1,,,,"Burnasheva, 1977",520,,,
747,AB2,NdMg2,2.05,,,,"Shaltiel, 1978",66,,,
748,AB2,NdNi2,1.3,,,,"Burnasheva, 1977",520,,,
749,AB2,PrCo2,1.5,67,100,0.001,"Clinton, 1975",102,,,
750,AB2,Ti.95Zr.05Cr1.2Mn.8,1.8,,20,45,"Hagstrom, 1999",1191,,,
751,AB2,Ti.95Zr.05Mn1.45Al.5,1.4,,25,21,"Bobet, 2000",1239,,,
752,AB2,Ti.95Zr.05Mn1.45Co.5,1.9,,25,32,"Bobet, 2000",1239,,,
753,AB2,Ti.95Zr.05Mn1.45Cr.5,1.9,,25,28,"Bobet, 2000",1239,,,
754,AB2,Ti.95Zr.05Mn1.45Ni.5,1.9,,25,36,"Bobet, 2000",1239,,,
755,AB2,Ti.95Zr.05Mn1.45V.5,2,,25,20,"Bobet, 2000",1239,,,
756,AB2,Ti.95Zr.05Mn1.48V.43Fe.08Al.01,1.9,,20,6,"Skripnyuk, 1999",1262,,,
757,AB2,Ti.95Zr.05Mn1.95,1.9,,25,29,"Bobet, 2000",1239,,,
758,AB2,Ti.95Zr.05Mn2-y,1.6,,25,25,"Bobet, 2000",1284,y=-0.05-0.35,,
759,AB2,Ti.98Zr.02Mn1.5V.43Fe.09Cr.05,1.9,27.4,20,9,"Bernauer, 1989",341,,,
760,AB2,Ti.98Zr.02V.43Fe.09Cr.05Mn1.5,1.6,23.3,20,20,"Hahne, 1998",850,,,
761,AB2,Ti.9Zr.15Mn1.6Cr.2V.2,2.1,15.4,25,7,"Xu, 2001",1290,,,
762,AB2,Ti.9Zr.1Cr1.8,3.4,,,,"Verbetsky, 1999",1281,,at -77C,No plateau
763,AB2,Ti.9Zr.1Mn1.4Cr.45Fe.15,2.2,,20,60,"Verbetsky, 1998",1219,,at -78C,
764,AB2,Ti.9Zr.1Mn1.4Cr.4V.2,1.7,,27,6,"Morita, 1997",647,,,
765,AB2,Ti.9Zr.1Mn1.4Cr.4V.2C.03,1.7,,27,10,"Morita, 1997",647,,,
766,AB2,Ti.9Zr.1Mn1.4Cr.4V.2S.03,1.7,,5,3,"Morita, 1997",647,,,
767,AB2,Ti.9Zr.2Mn1.4Cr.4(VFe).2,2.1,25.5,25,3,"Xu, 2001",1290,VFe=ferrovanadium,,
768,AB2,Ti.9Zr.2Mn1.4Cr.4V.2,2.1,26.7,25,1.9,"Xu, 2001",1290,,,
769,AB2,Ti.9Zr.2Mn1.6Cr.2(VFe).2,2.1,30,25,7,"Xu, 2001",1290,VFe=ferrovanadium,,
770,AB2,Ti.9Zr.2Mn1.6Ni.2(VFe).2,2,23.2,25,3.6,"Xu, 2001",1290,VFe=ferrovanadium,,
771,AB2,Ti.9Zr.2Mn1.6Ni.2V.2,2.1,31.7,25,2.7,"Xu, 2001",1290,,,
772,AB2,Ti.9Zr.2Mn1.8(VFe).2,2,29.1,25,3,"Xu, 2001",1290,VFe=ferrovanadium,,
773,AB2,Ti.9Zr.2Mn1.8V.2,2.1,26,25,3,"Xu, 2001",1290,,,
774,AB2,Ti.9Zr.3Mn1.3Cu.05Mo.05V.2Cr.2,2,15.2,20,0.06,"Au, 1995",860,,,
775,AB2,Ti0.85Zr.15MnCr.8V.1Cu.1,1.7,,30,13,"Liu, 1996",690,,,
776,AB2,Ti0.9+xZr.1MnCr.9V.1,1.7,,30,24-Dec,"Liu, 1996",690,x=0-0.15,,
777,AB2,Ti0.95-xZrxMnCr.9V.1,1.7,,30,24-Oct,"Liu, 1996",690,x=0.15-0.2,,
778,AB2,Ti0.9Zr.1Mn1.4Cr.4V.2,1.8,,30,13,"Liu, 1996",690,,,
779,AB2,Ti0.9Zr.1MnCr.9V.1,1.7,22.5,30,24,"Liu, 1996",690,,,
780,AB2,Ti0.9Zr.1MnCr1-yVy,1.8,,30,2.7 - 13.6,"Liu, 1996",690,y=0.2-0.4,,
781,AB2,Ti1.2Cr1.9Mn.1,1.8,20.1,-10,19.4,"Osumi, 1983",40,,,
782,AB2,Ti1.2CrMn,2,25.5,-10,5.7,"Osumi, 1983",40,,,
783,AB2,Ti1-xZrxCr2,0.8,,20,Mar-40,"Machida, 1978",371,(x = 0-0.3),,
784,AB2,Ti1-xZrxCrMn,2,,-20,2.5 - 13,"Bernauer, 1989",344,(x = 0-0.2),,
785,AB2,Ti1-xZrxMn.8Cr1.2,1.8,,30,30-Jul,"Park, 2001",1280,x=0.1-0.25,,
786,AB2,Ti1-xZrxMn1.7Cu.3,1.5,,20,0.1 - 1,"Gamo, 1980",31,(x = 0.3-0.5),,
787,AB2,Ti1-xZrxMn2-y-zCryCuz,1.6,,30,30-Jan,"Moriwaki, 1991",366,"(x = 0-1, y = 0.5-1, z = 0-0.2)",,
788,AB2,Ti1-xZrxMnCr.9V.1,1.7,,30,24-Oct,"Liu, 1996",690,x=0.1-0.15,,
789,AB2,Ti1-xZrxMny,1.7,,20,2 - 6.5,"Gamo, 1980",31,"(x = 0-0.2, y = 1.5-1.8)",,
790,AB2,Ti1-xZrxNiV.6Mn.2Fe.2,1.6,,30,0.7 - 2,"Gao, 1995",403,(x = 0.2-0.4),,
791,AB2,Ti1-xZrxV1.7Fe.3,2.8,,,,"Jacob, 1981",459,(x = 0.3-0.5),,
792,AB2,TiBe2,4.4,,22,1,"Maeland, 1983",362,,,
793,AB2,TiCo2,,,,,"Shaltiel, 1978",66,,,
794,AB2,TiCr1.2V.8,3.4,,,,"Jacob, 1981",459,,,
795,AB2,TiCr1.4V.6,2.3,,,,"Jacob, 1981",459,,,
796,AB2,TiCr1.7Fe.1,3.2,,,,"Verbetsky, 1999",1281,,at -78C,No plateau
797,AB2,TiCr1.8,,19,0,70,"Andreev, 1984",684,,,
798,AB2,TiCr1.8,1.9,19.7,-32,20,"Beeri, 1999",1258,,,
799,AB2,TiCr1.8 (M),2.43,20.2,-20,40,"Johnson, 1978",335,,,
800,AB2,TiCr1.8Mo.2,2.6,,-40,1,"Kabutomori, 1995",479,,,
801,AB2,TiCr1.8V.2,2.9,,-40,0.2,"Kabutomori, 1995",479,,,
802,AB2,TiCr2,0.4,,,,"Beck, 1962",45,,,
803,AB2,TiCr2,0.8,23,20,40,"Machida, 1978",371,,,
804,AB2,TiCr2,1.3,,,,"Jacob, 1980",65,,,
805,AB2,TiCr2,1.3,,-16,30,"Reilly, 1976",490,,,
806,AB2,TiCr2,1.8,29.7,-40,2,"Kabutomori, 1995",479,,,
807,AB2,TiCr2,1.8,,,,"Padurets, 1982",498,,,
808,AB2,TiCrMn,,24,0,18,"Andreev, 1984",684,,,
809,AB2,TiCrMn,1.7,,-16,15,"Reilly, 1976",490,,,
810,AB2,TiCrMn,2.1,19.6,40,190,"Beeri, 2000",1269,,at T=-60C,
811,AB2,TiCrMn.85Fe.3V.15,1.6,20.9,20,6,"Hagstrom, 1998",1242,,,
812,AB2,TiFe2,0,,,,"Semenenko, 1982",532,,,
813,AB2,TiMn1.25Cr.25,2.1,,20,6,"Hong, 1991",365,,,
814,AB2,TiMn1.28V.6Fe.15,2.15,,20,8,"Bernauer, 1984",521,,,
815,AB2,TiMn1.2Fe.37,1.4,,10,9,"Gamo, 1980",36,,,
816,AB2,TiMn1.2V.8,2.1,,50,4.5,"Bernauer, 1984",521,,,
817,AB2,TiMn1.3Fe.11,1.7,32.7,24,6,"Gamo, 1980",36,,,
818,AB2,TiMn1.45Al.5,1.5,,25,22,"Bobet, 2000",1284,,,
819,AB2,TiMn1.45Co.5,1.9,,25,32,"Bobet, 2000",1284,,,
820,AB2,TiMn1.45Cr.5,1.9,,25,38,"Bobet, 2000",1284,,,
821,AB2,TiMn1.45Ni.5,1.9,,25,36,"Bobet, 2000",1284,,,
822,AB2,TiMn1.45V.5,2.1,,25,20,"Bobet, 2000",1284,,,
823,AB2,TiMn1.4Fe.11,1.7,,0,4.5,"Gamo, 1980",36,,,
824,AB2,TiMn1.4Ni.1,,28,0,2,"Andreev, 1984",684,,,
825,AB2,TiMn1.4V.62,2.15,,20,3.5,"Bernauer, 1984",521,,,
826,AB2,TiMn1.5,,27,0,5,"Andreev, 1984",684,,,
827,AB2,TiMn1.5,1.5,,22,5,"Singh, 2001",1293,,,
828,AB2,TiMn1.5,1.9,28.7,20,7,"Gamo, 1981",31,,,
829,AB2,TiMn1.5,1.9,27.9,0,1.8,"Andreev, 1982",522,,,
830,AB2,TiMn1.5V.45Fe.1,1.32,,60,9,"Hagstrom, 1998",1242,Hydralloy C0,,
831,AB2,TiMn1.95,2,,25,31,"Bobet, 2000",1284,,,
832,AB2,TiMn2,0.06,,,,"Jacob, 1980",65,,,
833,AB2,TiMn2,1.7,24.6,0,20,"Klyamkin, 1994",688,,,
834,AB2,TiMn2-y,0.8,,50,Apr-40,"Someno, 1980",381,(y = 0.3-0.75),,
835,AB2,TiMnV.5 (M),2.6,,25,0.2,"Yu, 1997",821,,,
836,AB2,TiMnV.9Cr.1,2.45,,45,0.8,"Bernauer, 1984",521,,,
837,AB2,TiMnyB.1,1.7,,20,10-Apr,"Gamo, 1980",31,"(y = 1.3-1.4; B = Co, Cu, Fe, Ni, V)",,
838,AB2,TiV1.2Cr.4Fe.4,1,,25 - 410,,"Sakuma, 1995",859,,,
839,AB2,Zr.79Ti.21MnFe1.02,1.5,33,30,1.5,"Uchida, 1986",370,,,
840,AB2,Zr.7Ce.3Mn2 (M?),1.6,,100,0.6,"Wallace, 1983",528,,,
841,AB2,Zr.7Ti.3(Mn.2V.2CryNi.6-y)1.8,1.6,,30,0.04 - 0.05,"Lee, 2000",1272,y=0-0.15,,
842,AB2,Zr.7Ti.3Cr.3Mn.3V.4Ni1.0,1.8,,50,0.2,"Kim, 1999",1264,,,Sloping plateau
843,AB2,Zr.7Ti.3Cr.6Fe1.4,1.5,22,23,7,"Wallace, 1985",1169,,,
844,AB2,Zr.7Ti.3CrFe,1.7,30,23,0.8,"Yu, 1985",555,,,
845,AB2,Zr.7Ti.3Mn2,1.7,,30,0.1,"Fujii, 1981",18,,,
846,AB2,Zr.7Ti.3Mn2Fe.8,0.8,14,25,2.6,"Sinha, 1982",20,,,
847,AB2,Zr.7Ti.3MnFe,1.7,10,23,2,"Sinha, 1982",25,,,
848,AB2,Zr.7Ti.3Ni1.0V.4Mn.3Cr.3,1.7,,30,0.1,"Liu, 1997",818,,,
849,AB2,Zr.8Ce.2Mn2,1.6,,100,0.25,"Wallace, 1983",528,,,
850,AB2,Zr.8Ti.2Cr.6Fe1.4,1.6,27,23,3,"Wallace, 1985",1169,,,
851,AB2,Zr.8Ti.2Cr1.25Mn,1.8,,65,0.08,"Sinha, 1985",554,,,
852,AB2,Zr.8Ti.2Cr1-yFe1+y,1.2,26 - 29,30,0.4 - 6,"Lee, 1990",378,(y = 0-0.4),,
853,AB2,Zr.8Ti.2CrCo.8V.2,1.7,,150,4,"Bououdina, 1997",649,,,
854,AB2,Zr.8Ti.2FeMn,1.4,30,30,1.6,"Park, 1991",562,,,
855,AB2,Zr.8Ti.2FeMnyCr1-y,1.4,30 - 33,30,0.4 - 1.6,"Park, 1991",562,(y=0-1),,
856,AB2,Zr.8Ti.2Mn.6Ni1.4,0.8,,25,21,"Hsu, 2000",1276,,,
857,AB2,Zr.8Ti.2MnFe,1.7,11,23,1,"Sinha, 1982",25,,,
858,AB2,Zr.8Ti.2Ni1.1+yMn.8-yV.1,1.6,29 - 37,30,0.6 - 7,"Morii, 1995",410,(y = 0-0.32),,
859,AB2,Zr.8Ti.2Ni1.2V.6Co.2,1.8,,67,4,"Chen, 1997",820,,,
860,AB2,Zr.8Ti.2Ni1.2V.6Mn.2,1.8,,67,1,"Chen, 1997",820,,,
861,AB2,Zr.8Ti.2Ni1.2V.6Mo.2,1.8,,67,3,"Chen, 1997",820,,,
862,AB2,Zr.8Ti.2Ni1.2V.6Si.2,1.9,,67,2,"Chen, 1997",820,,,
863,AB2,Zr.8Ti.2Ni1.3Mn.7-yVy,1.62,31 - 35,30,4-Jan,"Morii, 1995",410,(y = 0-0.2),,
864,AB2,Zr.8V.2Mn.6Ni1.4,0.2,,,,"Hsu, 2000",1276,,,No plateau
865,AB2,Zr.9Ti.1(Mn.7V.5Ni1.2)0.92,0.7,,30,0.1,"Kim, 1999",1250,y=0.84-1.0,,sloping plateaux
866,AB2,Zr.9Ti.1(Mn.7V.5Ni1.2)y,1.5,,30,0.03 - 0.2,"Kim, 1998",1247,y=0.84-1.0,,sloping plateaux
867,AB2,Zr.9Ti.1Cr.55Fe1.45,1.6,1.03,10,2,"Park, 2001",1292,,,
868,AB2,Zr.9Ti.1Cr1-yFe1+y,1.4,24 - 31,30,0.2 - 4,"Lee, 1990",378,(y = 0-0.4),,
869,AB2,Zr.9Ti.1CrCo.8V.2,1.7,,150,4,"Bououdina, 1997",649,,,
870,AB2,Zr.9Ti.1CrFe,1.6,,30,0.2,"Park, 1993",687,,,
871,AB2,Zr.9Ti.1CrFe.8V.2,1.8,,150,2,"Bououdina, 1997",649,,,
872,AB2,Zr.9Ti.1CrNi,2,,,,"Visintin, 2001",1291,,at 60C,No plateau
873,AB2,Zr.9Ti.1CrNi.8V.2,1.8,,150,2,"Bououdina, 1997",649,,,
874,AB2,Zr.9Ti.1Mn.6V.2Co.1Ni1.1,1.6,,40,0.5,"Liu, 2000",1266,,,
875,AB2,Zr.9Ti.1MnFe,1.5,,30,0.6,"Park, 1993",687,,,
876,AB2,Zr.9Ti.1Ni1.1Mn.6V.2Co.1,1.6,,40,0.7,"Suda, 1998",861,,,
877,AB2,Zr.9Ti.1Ni1.1V.2Mn.6Co.1,1.5,,40,0.8,"Gao, 1998",855,,,
878,AB2,Zr.9Ti.1Ni1.3V.2Mn.6La.05,1.4,,40,1.2,"Gao, 1998",855,,,
879,AB2,Zr.9Ti.1V.2Mn.6Co.1Ni1.1,1.5,,40,4,"Suda, 1999",1263,,,
880,AB2,Zr.9Ti.1V.5Fe1.5,1.5,,50,0.2,"Park, 1993",687,,,
881,AB2,Zr1-2xMmxTixFe1.4Cr.6,1.35,,,,"Davidson, 2001",1288,x=0.05-0.2,,No plateaux
882,AB2,Zr1-xMmxFe1.4Cr.6,1.4,,,,"Davidson, 2001",1288,x=0.05-0.2,,No plateaux
883,AB2,Zr1-xTix(Mn.2V.2Ni.6)1.8,1.6,,30,0.02 - 0.2,"Lee, 2000",1237,x=0-0.6,,sloping plateaux
884,AB2,Zr1-xTix(Mn.2V.2Ni.6)1.8,1.6,,30,0.02 - 0.2,"Lee, 2000",1272,x=0-0.6,,Sloping plateaux
885,AB2,Zr1-xTix(Ni.6Mn.3V.1Cr.05)2,1.2,21.8 - 26.8,40,15-Jan,"Du, 2001",1289,x=0-0.5,,Sloping plateaux
886,AB2,Zr1-xTixCr.8Fe1.2,1.4,26 - 29,30,0.31 - 31.5,"Lee, 1990",378,(y = 0-0.2),,
887,AB2,Zr1-xTixCr1-yFe1+y,1.4,30 - 36,30,0.2 - 10,"Park, 1990",560,(x=0-0.5; y = 0-0.5),,
888,AB2,Zr1-xTixFe1.5V.5,1.4,,50,0.2 - 1,"Park, 1992",581,(x=0-0.3),,
889,AB2,Zr1-xTixMn.7V.5Ni1.2,1.5,,30,0.08 - 0.5,"Kim, 1998",1247,x=0-0.2,,sloping plateaux
890,AB2,Zr1-xTixMnFe,1.1,28 - 34,30,0.4 - 9,"Park, 1992",581,(x=0-0.3),,
891,AB2,Zr1-xTixNi.95Mn.55Cr.4V.1,1.5,,25,0.1 - 7,"Klein, 1998",1248,x=0.1-0.6,,
892,AB2,Zr1-xTixNi1.1Mn.6V.1Fe.2,1.6,26 - 35,30,1.2 - 10,"Morii, 1995",410,(x = 0-0.4),,
893,AB2,Zr1-xTixV1.2Cr.3Ni1.5,1.5,34.5 - 36.9,,,"Lupu, 2000",1275,x=0.25-0.6,,No plateaux
894,AB2,ZrAl2,0.35,,20,0.1,"Jacob, 1978",16,,,
895,AB2,ZrBe2,2.1,,22,0.01,"Maeland, 1983",362,,,
896,AB2,ZrCo1.5Al.5,1,,20,0.4,"Jacob, 1978",16,,,
897,AB2,ZrCo1.5Mo.5,0.1,,,,"Semenenko, 1980",638,,,
898,AB2,ZrCo1.5V.5,1.5,34.3,50,1.5,"Shaltiel, 1977",14,,,
899,AB2,ZrCo2,,,,,"Pebler, 1967",13,,,
900,AB2,ZrCo2,0.1,,,,"Padurets, 1978",513,,,
901,AB2,ZrCo2,0.16,,,,"Shaltiel, 1977",14,,,
902,AB2,ZrCoCr,1.6,40.2,50,0.7,"Shaltiel, 1977",14,,,
903,AB2,ZrCoV,1.8,49.4,50,0.0023,"Shaltiel, 1977",14,,,
904,AB2,ZrCoV.2Cr.8,1.5,,100,2,"Soubeyroux, 1999",1261,y=0-1,,
905,AB2,ZrCoV1-yCry,1.1,,,,"Soubeyroux, 1999",1261,y=0-1,,
906,AB2,ZrCr.6Fe1.4,1.5,27,23,0.8,"Wallace, 1985",1169,,,
907,AB2,ZrCr.8Co.8V.4,1.8,,130,1,"Bououdina, 1996",585,,,
908,AB2,ZrCr1.2Fe.8,1.4,50.2,70,0.75,"Boulghallat, 1993",375,(+ Fe1.2 & Fe1.5),,
909,AB2,ZrCr1.2Ni.8,2,56.4,70,0.25,"Boulghallat, 1993",375,,,
910,AB2,ZrCr1.75Ge.25,1.3,,200,1,"Drasner, 1993",583,,,
911,AB2,ZrCr1-yFe1+y,1.3,24 - 29,30,0.4 - 5,"Lee, 1990",378,(y = 0.2-0.5),,
912,AB2,ZrCr2,,36,,,"Pedziwiatr, 1983",28,,,
913,AB2,ZrCr2,1.8,,,,"Beck, 1962",45,,,
914,AB2,ZrCr2,1.8,42,27,0.003,"Pebler, 1967",13,,,
915,AB2,ZrCr2,1.8,,100,0.3,"Perevesenzew, 1988",557,,,
916,AB2,ZrCr2,1.8,,,,"Trzeciak, 1956",483,,,
